,Name,Location,Phone_1,Phone_2,Website,Register_Capital
777,บริษัท ที.อาร์.วี. รับเบอร์ โปรดักส์ จำกัด (มหาชน),"40,88/8-9 ซอยเอกชัย 76 แยก 1-3-1 แขวงคลองบางพราน เขตบางบอน กทม.",0-2451-1562-3,0-2451-2885,http://www.trvrubber.co.th,"105,000,000.00 บาท"
778,บริษัท ไทยสตีลเคเบิล จำกัด (มหาชน),เลขที่ 700/737 หมู่ที่ 1 ตำบลพานทอง อำเภอพานทอง ชลบุรี,0-3844-7200-205,-,http://www.tscpcl.com,"268,500,000.00 บาท"
779,บริษัท ไทย โซล่าร์ เอ็นเนอร์ยี่ จำกัด (มหาชน),เลขที่ 725 อาคารเอส เมโทร ชั้นที่ 19 ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กทม.,0-2258-4530-3,0-2258-4534,http://www.thaisolarenergy.com,"2,477,474,454.00 บาท"
780,บริษัท ทรีซิกตี้ไฟว์ จำกัด (มหาชน) (บริษัทจดทะเบียนที่เข้าข่ายอาจถูกเพิกถอน),เลขที่ 1555 ซอยลาดพร้าว 94 (ปัญจมิตร) แขวงพลับพลา เขตวังทองหลาง กทม.,0-2957-5532-3,0-2957-5532-4,http://www.365pcl.com,"2,072,413,951.50 บาท"
781,บริษัท ไทยเศรษฐกิจประกันภัย จำกัด (มหาชน),เลขที่ 87 เอ็ม.ไทย ทาวเวอร์ ออลซีซั่นส์ เพลส ชั้น15 ห้องเลขที่ 1 และ 4-6 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม.,0-2853-8888,0-2853-8889,http://www.tsi.co.th,"951,456,883.00 บาท"
782,บริษัท เธียรสุรัตน์ จำกัด (มหาชน),43/9 หมู่ที่ 7 ซอยชูชาติอนุสรณ์ 4 ตำบลบางตลาด อำเภอปากเกร็ด นนทบุรี,0-2819-8899,0-2962-6675,https://www.tsrplc.com,"549,411,233.00 บาท"
783,บริษัท ไทยชูการ์ เทอร์มิเนิ้ล จำกัด (มหาชน),90 หมู่ 1 ซอยสยามไซโล ถนนปู่เจ้าสมิงพราย ตำบลสำโรงกลาง อำเภอพระประแดง สมุทรปราการ,0-2183-4567,"0-2183-4561, 0-2183-4562",http://www.tstegroup.com,"191,663,805.00 บาท"
784,บริษัท ทาทา สตีล (ประเทศไทย) จำกัด (มหาชน),เลขที่ 555 อาคารรสาทาวเวอร์ 2 ชั้น 20 ถนนพหลโยธิน แขวงจตุจักร เขตจตุจักร กทม.,0-2937-1000,0-2937-1223-4,http://www.tatasteelthailand.com,"8,421,540,848.00 บาท"
785,บริษัท โทรีเซนไทย เอเยนต์ซีส์ จำกัด (มหาชน),"อาคารอรกานต์ ชั้น 8, 26/26-27 ซอยชิดลม ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.",0-2250-0569-74,"0-2657-1038, 0-2655-5631",http://www.thoresen.com,"1,998,446,888.00 บาท"
786,ธนาคารทหารไทยธนชาต จำกัด (มหาชน),3000 ถนนพหลโยธิน แขวงจอมพล เขตจตุจักร กทม.,"0-2299-1111, 0-2617-9111",0-2299-2758,https://www.ttbbank.com,"92,939,053,968.75 บาท"
787,บริษัท ทีทีซีแอล จำกัด (มหาชน),"159/41-44 อาคารเสริมมิตรทาวเวอร์ ชั้น 27 - 30, สุขุมวิท 21(อโศก) แขวงคลองเตยเหนือ เขตวัฒนา กทม.",0-2260-8505,0-2260-8525-6,http://www.ttcl.com,"896,000,000.00 บาท"
788,บริษัท โรงงานผ้าไทย จำกัด (มหาชน),385 หมู่1 ซอยบางเมฆขาว ถนนสุขุมวิท ตำบลท้ายบ้าน อำเภอเมือง สมุทรปราการ,0-2703-8484,"0-2387-1983, 0-2387-0894",http://www.tti.co.th,"500,000,000.00 บาท"
789,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ตลาดไท,เลขที่ 1 อาคารเอ็มไพร์ทาวเวอร์ ชั้น 32 ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กทม.,0-2686-6100,0-2670-0430,-,"1,782,000,000.00 บาท"
790,บริษัท โทเร เท็กซ์ไทล์ (ประเทศไทย) จำกัด (มหาชน),อาคารบุปผจิต ชั้น 5 เลขที่ 20 ถนนสาทรเหนือ แขวงสีลม เขตบางรัก กทม.,0-2266-6600-7,0-2238-3957-8,http://www.toray.co.th,"578,400,000.00 บาท"
791,บริษัท ทีทีดับบลิว จำกัด (มหาชน),30/130 หมู่ 12 ถนนพุทธมณฑลสาย 5 ตำบลไร่ขิง อำเภอสามพราน นครปฐม,"0-2019-9490-3, 0-2019-9484-9",0-2420-6064,http://www.ttwplc.com,"3,990,000,000.00 บาท"
792,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน),"อาคารเอส เอ็ม ทาวเวอร์ ชั้น M, 979/12 ถนนพหลโยธิน แขวงพญาไท เขตพญาไท กทม.","0-2298-0024, 0-2298-0537-41",0-2298-0553,http://thaiunion.com,"1,492,953,874.00 บาท"
793,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ ที ยู โดม เรสซิเดนท์เชียล คอมเพล็กซ์,"ชั้น 23A, 25 อาคารเอเซียเซ็นเตอร์ เลขที่ 173/27-30, 32-33 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กทม.",0-2786-2000,0-2786-2370-74,-,"1,034,272,305.40 บาท"
794,บริษัท ทีวีดี โฮลดิ้งส์ จำกัด (มหาชน),เลขที่ 25 ถ.วัชรพล แขวงท่าแร้ง เขตบางเขน กทม.,0-2666-0999,0-2666-0488,http://www.tvdirect.tv,"1,224,455,938.00 บาท"
795,บริษัท ประกันภัยไทยวิวัฒน์ จำกัด (มหาชน),อาคารประกันภัยไทยวิวัฒน์ 71 ถนนดินแดง แขวงสามเสนใน เขตพญาไท กทม.,"0-2248-0900, 0-2248-0910, 0-2644-6400, 0-2644-6500","0-2248-4575, 0-2248-4975",http://www.thaivivat.co.th,"303,000,000.00 บาท"
796,บริษัท น้ำมันพืชไทย จำกัด (มหาชน),149 ถนนรัชดาภิเษก (ท่าพระ-ตากสิน) แขวงบุคคโล เขตธนบุรี กทม.,0-2477-9020,"0-2477-9880, 0-2477-9894",http://www.tvothai.com,"808,610,985.00 บาท"
797,บริษัท ทีวี ธันเดอร์ จำกัด (มหาชน),1213/309-310 ซอยลาดพร้าว 94 (ปัญจมิตร) ถนนศรีวรา แขวงพลับพลา เขตวังทองหลาง กทม.,0-2559-0022,0-2559-3609,http://www.tvthunder.co.th,"250,000,000.00 บาท"
798,บริษัท ไทยไวร์โพรดัคท์ จำกัด (มหาชน),เลขที่ 101/88 หมู่ที่ 20 นิคมอุตสาหกรรมนวนคร ต.คลองหนึ่ง อ.คลองหลวง ปทุมธานี,0-2520-3855-64,0-2520-3865-66,http://www.thaiwireproducts.com,"500,000,000.00 บาท"
799,บริษัท ไทยวา จำกัด (มหาชน),"เลขที่ 21/11, 21/13 อาคารไทยวา 1 ชั้น 6 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กทม.",0-2285-0040,0-2285-0268,http://www.thaiwah.com,"880,420,930.00 บาท"
800,บริษัท ทีดับบลิวแซด คอร์ปอเรชั่น จำกัด (มหาชน),เลขที่ 269 ถนนรัชดาภิเษก แขวงรัชดาภิเษก เขตดินแดง กทม.,0-2275-9789,0-2275-9798,http://www.twz.co.th,"2,977,237,990.30 บาท"
801,บริษัทไทยคูน เวิลด์ไวด์ กรุ๊ป (ประเทศไทย) จำกัด (มหาชน),99 หมู่ 1 ตำบลนิคมพัฒนา อำเภอนิคมพัฒนา ระยอง,0-3365-8558,0-3863-6969,http://www.tycons.com,"4,475,616,750.00 บาท"
802,บริษัท ยู ซิตี้ จำกัด (มหาชน),เลขที่ 21 อาคารทีเอสที ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต แขวงจอมพล เขตจตุจักร กทม.,0-2273-8838,0-2273-8858,http://www.ucity.co.th,"28,447,899,721.60 บาท"
803,บริษัท ยูเอซี โกลบอล จำกัด (มหาชน),เลขที่ 1 อาคาร ทีพี แอนด์ ที ชั้น 19 ซอยวิภาวดีรังสิต 19 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กทม.,0-2936-1701,0-2936-1700,http://www.uac.co.th,"367,183,099.50 บาท"
804,บริษัท อุบล ไบโอ เอทานอล จำกัด (มหาชน),123 อาคารซันทาวเวอร์ส ชั้น 21 ห้องเลขที่ 2105 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,0-2273-8666,0-2273-8668,http://www.ubonbioethanol.com,"3,914,286,000.00 บาท"
805,บริษัท ยูบิส (เอเชีย) จำกัด (มหาชน),เลขที่ 238 อาคารไทยรุ่งเรือง ชั้น 15 ยูนิตที่ 4-6 ถนนนราธิวาสราชนครินทร์ แขวงช่องนนทรี เขตยานนาวา กทม.,0-2683-0008,0-2294-2013,http://www.ubisasia.com,"398,999,983.00 บาท"
806,บริษัท ยูนิมิต เอนจิเนียริ่ง จำกัด (มหาชน),109/92-95 หมู่ 19 ซอยสุขสวัสดิ์ 66 ถนนสุขสวัสดิ์ ตำบลบางพึ่ง อำเภอพระประแดง สมุทรปราการ,0-2463-0100,0-2463-1910,http://www.unimit.com,"142,627,650.00 บาท"
807,บริษัท ยูเนี่ยน ปิโตรเคมีคอล จำกัด (มหาชน),"อาคารยูเนี่ยนเฮ้าส์, 728 ถนนบรมราชชนนี แขวงบำหรุ เขตบางพลัด กทม.",0-2881-8288,0-2433-7243-4,http://www.unionpetrochemical.com,"316,285,186.00 บาท"
808,บริษัท สหโมเสคอุตสาหกรรม จำกัด (มหาชน),"อาคารชำนาญ เพ็ญชาติ บิซเนส เซ็นเตอร์ ชั้น 29, 65 ถนนพระราม 9 เขตห้วยขวาง กทม.",0-2248-7007-65,0-2248-7005-6,http://www.umi-tiles.com,"836,504,795.00 บาท"
809,บริษัท ยูนิค ไมนิ่ง เซอร์วิสเซส จำกัด (มหาชน),26/23 อาคาร อรกานต์ ชั้น 7 ซอยชิดลม ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.,0-2655-7501-2,0-2655-7501-2,http://www.umspcl.com,"572,599,797.00 บาท"
810,บริษัท ยูนิค เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด (มหาชน),"จัสมิน อินเตอร์เนชั่นแนลทาวเวอร์ ชั้น 15, 200 หมู่ 4 ถนนแจ้งวัฒนะ ตำบลปากเกร็ด อำเภอปากเกร็ด นนทบุรี",0-2582-1888,0-2582-3196,http://www.unique.co.th,"1,081,016,253.00 บาท"
811,บริษัทหลักทรัพย์ ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน),"เลขที่ 130-132 อาคารสินธรทาวเวอร์ 1 ชั้น 2, 3 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม.",0-2659-8000,0-2263-2807,https://www.utrade.co.th/,"502,448,570.00 บาท"
812,บริษัท ยูเนี่ยนพลาสติก จำกัด (มหาชน),11/1 หมู่ 14 นิคมอุตสาหกรรมบางชัน ถนนเสรีไทย แขวงมีนบุรี เขตมีนบุรี กทม.,0-2517-0109-14,0-2517-0529,http://www.unionplastic.co.th,"250,000,000.00 บาท"
813,บริษัท ยูไนเต็ด เพาเวอร์ ออฟ เอเชีย จำกัด (มหาชน),"เลขที่ 127 อาคารเกษร ทาวเวอร์ ชั้นที่ 28 ห้องเลขที่ เอ,บี,ดี ถนนราชดำริห์ แขวงลุมพินี เขตปทุมวัน กทม.",0-2677-7151,0-2677-7152,http://www.unitedpowerofasia.com,"7,578,205,755.00 บาท"
814,บริษัท ยูเนี่ยนไพโอเนียร์ จำกัด (มหาชน),เลขที่ 1 ซอยเสรีไทย 62 แขวงมีนบุรี เขตมีนบุรี กทม.,0-2517-0105-8,"0-2517-0345, 0-2517-9056",http://www.unionpioneer.co.th,"75,000,000.00 บาท"
815,บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),64 ชั้น 1 ซอยบางนา-ตราด 25 แขวงบางนา เขตบางนา กทม.,0-2744-1046-8,0-2744-1049,http://www.upoic.co.th,"324,050,000.00 บาท"
816,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์เออร์บานา,209 อาคารเคเคพี ทาวเวอร์ เอ ชั้นที่ 17 ถนนสุขุมวิท 21 (อโศก) แขวงคลองเตยเหนือ เขตวัฒนา กทม.,0-2305-9800,-,https://am.kkpfg.com,"506,445,000.00 บาท"
817,บริษัท ยูเรกา ดีไซน์ จำกัด (มหาชน),เลขที่ 19 หมู่ที่ 11 ตำบลลาดสวาย อำเภอลำลูกกา ปทุมธานี,0-2192-3737,0-2192-3743-44,http://www.eurekadesign.co.th,"499,625,226.75 บาท"
818,บริษัท ยูไนเต็ด เปเปอร์ จำกัด (มหาชน),113 - 115 ถนนริมคลองประปา แขวงบางซื่อ เขตบางซื่อ กทม.,0-2910-2700-8,0-2910-2709,http://www.unitedpaper.co.th,"650,000,000.00 บาท"
819,บริษัท ยูนิเวนเจอร์ จำกัด (มหาชน),57 ปาร์คเวนเชอร์ อีโคเพล็กซ์ ชั้น 22 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม.,0-2643-7100,0-2256-0505,http://www.univentures.co.th,"1,911,926,537.00 บาท"
820,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน),258 ถนนอ่าวลึก-แหลมสัก ตู้ ป.ณ. 8-9 ตำบลอ่าวลึกใต้ อำเภออ่าวลึก กระบี่,0-7568-1116,-,http://www.univanich.com,"470,000,000.00 บาท"
821,บริษัท วโรปกรณ์ จำกัด (มหาชน),181 ซอยอมร ถนนนางลิ้นจี่ แขวงช่องนนทรี เขตยานนาวา กทม.,"0-2213-2514-7, 0-2231-2544",0-2287-2031,http://www.varopakorn.com,"500,000,000.00 บาท"
822,บริษัท วินท์คอม เทคโนโลยี จำกัด (มหาชน),เลขที่ 159/21 อาคารเสริมมิตร ทาวเวอร์ ชั้น 14 ห้อง 1401 ถนนสุขุมวิท 21 (อโศก) แขวงคลองเตยเหนือ เขตวัฒนา กทม.,0-2661-7979,0-2661-7969,http://www.vintcom.co.th,"153,502,600.00 บาท"
823,บริษัท วีจีไอ จำกัด (มหาชน),21 อาคารทีเอสที ทาวเวอร์ ชั้น 9 ถนนวิภาวดี-รังสิต แขวงจอมพล เขตจตุจักร กทม.,0-2273-8884,0-2273-8883,http://www.vgi.co.th,"1,609,588,765.20 บาท"
824,บริษัท โรงพยาบาลวิภาวดี จำกัด (มหาชน),51/3 ถนนงามวงศ์วาน แขวงลาดยาว เขตจตุจักร กทม.,"0-2579-9680-4, 0-2561-1258-67, 0-2941-2800","0-2561-1466, 0-2561-1462",http://www.vibhavadi.com,"1,601,968,383.00 บาท"
