,Name,Location,Phone_1,Phone_2,Website,Register_Capital
0,บริษัท 2 เอส เมทัล จำกัด (มหาชน),8/5 หมู่ที่ 14 ตำบลท่าช้าง อำเภอบางกล่ำ สงขลา,0-7480-0111,0-7480-1286,http://www.ss.co.th,"549,997,741.00 บาท"
1,บริษัท ไทย เอ็นเนอร์จี สโตเรจ เทคโนโลยี จำกัด (มหาชน),387 หมู่ 4 ถนนสุขุมวิท ตำบลแพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ,0-2709-3535,0-2393-2509 / 0-2709-4965,-,"784,000,000.00 บาท"
2,บริษัท เซเว่น ยูทิลิตี้ส์ แอนด์ พาวเวอร์ จำกัด (มหาชน),73 อาคารมหาชล ซอยสุขุมวิท 62 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กทม.,0-2741-5700,0-2741-5724,http://www.sevenup.co.th,"2,773,869,685.50 บาท"
3,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),999 ถนนประดิษฐ์มนูธรรม แขวงสะพานสอง เขตวังทองหลาง กทม.,"0-2798-9999, 1797",0-2798-9990,http://www.areeya.co.th,"1,200,000,000.00 บาท"
4,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),เลขที่ 349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้นที่ 19 ยูนิต 1901 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,0-2026-3512,0-2026-3513,http://www.assetfive.co.th,"661,500,000.00 บาท"
5,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),222 ท่าอากาศยานดอนเมืองอาคารส่วนกลางชั้น 3 ห้อง 3200 ถ.วิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง กทม.,0-2562-5700,0-2562-5705,http://www.aavplc.com,"1,285,000,000.00 บาท"
6,บริษัท เอบิโก้ โฮลดิ้งส์ จำกัด (มหาชน),401/1หมู่ที่ 8 อาคารเอบิโก้ ชั้น 5 ถนนพหลโยธิน ตำบลคูคต อำเภอลำลูกกา ปทุมธานี,0-2080-7899,0-2080-7805,http://www.abicogroup.com,"244,397,239.00 บาท"
7,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),273/2 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กทม.,0-2415-0054,0-2415-1102,http://www.asiabiomass.com,"150,000,000.00 บาท"
8,กองทุนรวมโครงสร้างพื้นฐานโรงไฟฟ้า อมตะ บี.กริม เพาเวอร์,เลขที่ 400/22 อาคารธนาคารกสิกรไทย ชั้น 6 และ 12 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม.,0-2673-3999,0-2673-3988,http://www.kasikornasset.com,"855,600,000.00 บาท"
9,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),เลขที่ 349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้น 24 ห้องเลขที่ 2401-2405 ถนน วิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,0-2793-3888,0-2793-3944,http://www.acap.co.th,"158,205,580.00 บาท"
10,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),944 อาคารมิตรทาวน์ ออฟฟิศ ทาวน์เวอร์ ชั้น 16 ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน กทม.,0-2219-1642,0-2219-1662,http://acc-plc.com,"335,763,905.75 บาท"
11,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),เลขที่ 140/6 อาคารไอทีเอฟ ทาวเวอร์ ชั้น 7 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กทม.,0-2233-2559,-,http://www.ace-energy.co.th,"5,487,999,980.00 บาท"
12,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),เลขที่ 1111 หมู่ 1 ถนนมะลิวัลย์ ตำบลบ้านทุ่ม อำเภอเมือง ขอนแก่น,0-4330-6444,0-4330-6448,http://www.autocorpgroup.com,"312,000,000.00 บาท"
13,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),252 หมู่ 4 ถนนสุขุมวิท ตำบลแพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ,0-2709-4040-9,0-2323-9195,http://www.adb.co.th,"362,999,961.50 บาท"
14,บริษัท แอดเทค ฮับ จำกัด (มหาชน),เลขที่ 1 อาคารเอ็มไพร์ทาวเวอร์ ชั้น 41 ห้องเลขที่ 4106-7 ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กทม.,0-2835-3957-8,0-2835-3959,https://www.addtechhub.com,"80,000,000.00 บาท"
15,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),"อาคารเอไอเอส ทาวเวอร์ 1, 414 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม.",0-2029-5000,0-2029-5165,http://investor.ais.co.th,"4,997,459,800.00 บาท"
16,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),"อาคารเอ็กเชน ทาวเวอร์ ชั้น 27, 388 ถนนสุขุมวิท แขวงคลองเตย เขตคลองเตย กทม.","0-2665-0123, 0-2689-7197",0-2689-7007,http://www.aeon.co.th,"250,000,000.00 บาท"
17,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),เลขที่ 319 อาคารจัตุรัสจามจุรี ชั้น 17 ถนนพญาไท เขตปทุมวัน กทม.,0-2657-6222,"0-2657-6244, 0-2657-6245",http://www.airafactoring.co.th,"400,000,000.00 บาท"
18,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน),"อาคารวอลล์สตรีททาวเวอร์ ชั้น 27, 33/133-136 ถนนสุรวงศ์ แขวงสุริยวงศ์ เขตบางรัก กทม.",0-2632-7071-85,0-2236-1982,http://www.asiafiber.com,"1,000,000,000.00 บาท"
19,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),273/1 ถนนพระราม 2 แขวงแสมดำ เขตบางขุนเทียน กทม.,0-2894-0088,"0-2894-0044, 0-2894-4267",http://www.agecoal.com,"543,877,746.50 บาท"
20,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),99 หมู่ 1 นิคมอุตสาหกรรมไฮเทค ตำบลบ้านเลน อำเภอบางปะอิน พระนครศรีอยุธยา,0-3535-0880,0-3535-0881,http://www.aapico.com,"354,842,228.00 บาท"
21,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),68/3 หมู่ 2 ถนนพระยาสัจจา ตำบลบ้านสวน อำเภอเมือง ชลบุรี,"0-3827-3840-7, 0-3879-2500, 0-3879-2555",0-3827-3848,http://www.aikchol.com,"150,000,000.00 บาท"
22,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),254 ถนนเสรีไทย แขวงคันนายาว เขตคันนายาว กทม.,"0-2517-1451, 0-2517-1026, 0-2517-9447-8",0-2517-1465,http://www.asianinsulators.com,"700,000,000.00 บาท"
23,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),เลขที่ 55/2 หมู่ที่ 8 ถนนเศรษฐกิจ 1 ตำบลคลองมะเดื่อ อำเภอกระทุ่มแบน สมุทรสาคร,0-3487-7485-8,0-3487-7491-2,http://www.aienergy.co.th,"1,569,682,166.00 บาท"
24,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม คอมเมอร์เชียล โกรท,เลขที่ 93/1 อาคารจีพีเอฟ วิทยุ อาคารบี ชั้น 8 ห้อง 803 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม.,0-2254-0441-2,-,http://www.aimcgreit.com,"2,831,040,000.00 บาท"
25,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม อินดัสเทรียล โกรท,เลขที่ 93/1 อาคารจีพีเอฟ วิทยุ อาคารบีชั้น 8 ห้อง 803 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม.,0-2254-0441-2,-,http://www.aimreit.com,"5,954,807,690.00 บาท"
26,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),319 อาคารจัตุรัสจามจุรี ชั้นที่ 12 ถนนพญาไท ปทุมวัน กทม.,0-2080-2999,0-2160-5395,https://www.airacapital.co.th,"1,578,719,633.25 บาท"
27,บริษัท แอ็ดวานซ์ อินฟอร์เมชั่น เทคโนโลยี จำกัด (มหาชน),37/2 ถนนสุทธิสาร แขวงสามเสนนอก เขตห้วยขวาง กทม.,0-2275-9400,"0-2275-9100, 0-2275-9200",http://www.ait.co.th,"1,547,406,727.00 บาท"
28,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),95 ถนนท่าข้าม แขวงแสมดำ เขตบางขุนเทียน กทม.,"0-2415-0035, 0-2415-6059",0-2415-6068,http://www.ajplast.co.th,"440,000,000.00 บาท"
29,บริษัท เอเจ แอดวานซ์ เทคโนโลยี จำกัด (มหาชน),เลขที่ 427/2 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กทม.,0-2451-6888,0-2451-5490,http://www.ajthai.com,"767,974,533.50 บาท"
30,บริษัท อัคคีปราการ จำกัด (มหาชน),792 หมู่ 2 ซอย 1 ซี/1 นิคมอุตสาหกรรมบางปู ซอย 1 ถนนสุขุมวิท ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ,0-2323-0714-21,0-2323-0724,http://www.akkhie.com,"202,000,000.00 บาท"
31,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),"อาคารยู เอ็ม ทาวเวอร์ ชั้น 28, 9/291 ถนนรามคำแหง แขวงสวนหลวง เขตสวนหลวง กทม.",0-2719-8777,02-719-8760-2,http://www.ekarat.co.th,"1,177,226,284.80 บาท"
32,บริษัท ออลล์ อินสไปร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),4345 อาคารภิรัชทาวเวอร์ แอท ไบเทค ชั้น 18 ถนนสุขุมวิท แขวงบางนา เขตบางนา กทม.,0-2029-9988,-,http://www.allinspire.co.th,"1,856,738,033.00 บาท"
33,บริษัท ออลล่า จำกัด (มหาชน),"เลขที่ 933, 935, 937, 939 ซอยอ่อนนุช 46 ถนนอ่อนนุช แขวงอ่อนนุช เขตสวนหลวง กทม.","0-2322-0777, 0-2721-5699",0-2322-1891-2,http://www.alla.co.th,"300,000,000.00 บาท"
34,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ อัลไล,888 ถ. ประดิษฐมนูธรรม แขวงคลองจั่น เขตบางกะปิ กทม.,0-2101-5999,-,http://www.allyreit.com,"8,565,830,360.00 บาท"
35,บริษัท อัลฟ่า ดิวิชั่นส์ จำกัด (มหาชน),98 อาคารอรรถกะวี 1 ชั้น 5 ซอยอารี ถนนสุขุมวิท 26 แขวงคลองตัน เขตคลองเตย กทม.,0-2077-5853,-,http://www.alphadivisions.com,"526,345,537.25 บาท"
36,บริษัท เอแอลที เทเลคอม จำกัด (มหาชน),52/1 หมู่ที่ 5 ถนนบางกรวย - ไทรน้อย ตำบลบางสีทอง อำเภอบางกรวย นนทบุรี,0-2863-8999,0-2886-3364,http://www.alt.co.th,"566,113,709.50 บาท"
37,บริษัท อลูคอน จำกัด (มหาชน),500 หมู่ 1 ซอยศิริคาม ถนนสุขุมวิท 72 ตำบลสำโรงเหนือ อำเภอเมือง สมุทรปราการ,"0-2398-0147, 0-2398-4601","0-2398-3455, 0-2361-2511",http://www.alucon.th.com,"432,000,000.00 บาท"
38,บริษัท อาม่า มารีน จำกัด (มหาชน),33/4 อาคารเดอะไนน์ ทาวเวอร์ ชั้นที่ 33 ทาวเวอร์ เอ ห้องเลขที่ TNA02 ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กทม.,0-2001-2801,0-2001-2800,http://www.amamarine.co.th,"258,958,386.50 บาท"
39,บริษัท อะมานะฮ์ ลิสซิ่ง จำกัด (มหาชน),16-16/1 ซอยเกษมสันต์ 1 ถนนพญาไท แขวงวังใหม่ เขตปทุมวัน กทม.,0-2091-6456,0-2030-6401,http://www.amanah.co.th,"1,036,110,224.00 บาท"
40,บริษัท อมรินทร์พริ้นติ้ง แอนด์ พับลิชชิ่ง จำกัด (มหาชน),เลขที่ 378 ถนนชัยพฤกษ์ แขวงตลิ่งชัน เขตตลิ่งชัน กทม.,0-2422-9999,"0-2434-3555, 0-2434-3777",http://www.amarin.com,"998,281,590.00 บาท"
41,บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน),อาคารกรมดิษฐ์ 2126 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม.,"0-2318-0007, 0-2792-0000",0-2318-1096,http://www.amata.com,"1,150,000,000.00 บาท"
42,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอมตะซัมมิทโกรท,2126 อาคารกรมดิษฐ์ ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม.,0-2792-0089,0-2792-0090,http://www.amatareit.com,"3,365,955,450.00 บาท"
43,บริษัท อมตะ วีเอ็น จำกัด (มหาชน),2126 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม.,0-2792-0000,0-2318-1096,http://www.amatavn.com,"467,500,000.00 บาท"
44,บริษัท เอเซีย เมทัล จำกัด (มหาชน),"55, 55/1 หมู่ที่ 2 ซอยวัดหนามแดง ถนนศรีนครินทร์ ตำบลบางแก้ว อำเภอบางพลี สมุทรปราการ",0-2383-4100,0-2383-4101-2,http://www.asiametal.co.th,"549,973,800.00 บาท"
45,บริษัท เอเอ็มอาร์ เอเซีย จำกัด (มหาชน),เลขที่ 469 ซอยประวิทย์และเพื่อน ถนนประชาชื่น แขวงลาดยาว เขตจตุจักร กทม.,0-2589-9955,0-2591-7022,https://www.amrasia.com,"300,000,000.00 บาท"
46,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),เลขที่ 99/1 หมู่ที่ 14 ซอยหมู่บ้านวินด์มิลล์ ถนนบางนา-ตราด (ก.ม.10.5) ตำบลบางพลีใหญ่ อำเภอบางพลี สมุทรปราการ,0-2317-1155,0-2317-1100,http://www.ananda.co.th,"520,781,199.70 บาท"
47,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),333 หมู่ที่ 7 ถนนเชิดวุฒากาศ แขวงสีกัน เขตดอนเมือง กทม.,0-2535-1111,"0-2531-5559, 0-2535-4061",http://www.airportthai.co.th,"14,285,700,000.00 บาท"
48,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),"อาคารโอเชี่ยนทาวเวอร์ 1 ชั้น 18, 170/57 ถนนรัชดาภิเษกตัดใหม่ แขวงคลองเตย เขตคลองเตย กทม.","0-2261-2518-22, 0-2261-2285-7",0-2261-2548-9,http://www.apthai.com,"3,145,912,151.00 บาท"
49,บริษัท เอเชียน ไฟย์โตซูติคอลส์ จำกัด (มหาชน),เลขที่ 84/3 หมู่ 4 นิคมอุตสาหกรรมภาคเหนือ (ฝั่งตะวันตก) ถนนทางหลวงหมายเลข 11 ตำบลบ้านกลาง อำเภอเมือง ลำพูน,0-5358-1374,0-5358-1375,http://www.apco.co.th,"300,000,000.00 บาท"
50,บริษัท เอเซีย พรีซิชั่น จำกัด (มหาชน),นิคมอุตสาหกรรมอมตะนคร เลขที่ 700/331 หมู่ที่ 6 ตำบลดอนหัวฬ่อ อำเภอเมือง ชลบุรี,0-3846-8300,0-3845-8751,http://www.asiaprecision.com,"659,999,962.00 บาท"
51,บริษัท เอเพ็กซ์ ดีเวลลอปเม้นท์ จำกัด (มหาชน) (บริษัทจดทะเบียนที่เข้าข่ายอาจถูกเพิกถอน),900 อาคาร ต้นสน ทาวเวอร์ ชั้น 18 โซน เอ ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.,"08-1483-2400, 08-1665-2400",-,http://www.apexpcl.com,"4,034,499,351.00 บาท"
52,บริษัท แอพพลิแคด จำกัด (มหาชน),69 ซอยสุขุมวิท 68 ถนนสุขุมวิท แขวงบางนาเหนือ เขตบางนา กทม.,0-2744-9045,0-2744-9049,http://www.applicadthai.com,"140,000,000.00 บาท"
53,บริษัท อกริเพียว โฮลดิ้งส์ จำกัด (มหาชน),อาคารมูลนิธิรวมใจพัฒนา เลขที่ 70 หมู่ที่ 6 ถนนพหลโยธิน ตำบลคลองหนึ่ง อำเภอคลองหลวง ปทุมธานี,0-2516-0941-45,0-2516-0946,http://www.apureholdings.com,"1,006,191,252.50 บาท"
54,บริษัท เอคิว เอสเตท จำกัด (มหาชน),เลขที่ 102 ถนนริมคลองบางกะปิ แขวงบางกะปิ เขตห้วยขวาง กทม.,0-2033-5555,0-2033-5566,http://www.aqestate.com,"81,058,570,872.50 บาท"
55,บริษัท อควา คอร์เปอเรชั่น จำกัด (มหาชน),"อาคารอาร์เอสทาวเวอร์ ชั้น 21, 121/68-69 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กทม.",0-2694-8888,"0-2694-8880, 0-2694-8889",http://www.aquacorp.co.th,"5,321,210,870.00 บาท"
56,บริษัท อรินสิริ แลนด์ จำกัด (มหาชน),เลขที่ 49/82 ถนนบางแสนสาย 4 เหนือ ตำบลแสนสุข อำเภอเมืองชลบุรี ชลบุรี,0-3819-1581,0-3819-1681,http://www.arinsiri.com,"480,000,000.00 บาท"
57,บริษัท เออาร์ไอพี จำกัด (มหาชน),99/16-20 ถนนรัชดาภิเษก เขตดินแดง กทม.,0-2642-3400,0-2642-3440,http://www.aripplc.com,"116,500,000.00 บาท"
58,บริษัท แอร์โรว์ ซินดิเคท จำกัด (มหาชน),เลขที่ 31 หมู่ 1 ตำบลพานทอง อำเภอพานทอง ชลบุรี,0-3874-0371-4,0-3874-0150,http://www.arrowpipe.com,"256,896,904.00 บาท"
59,บริษัท เอเชียซอฟท์ คอร์ปอเรชั่น จำกัด (มหาชน),เลขที่ 51 อาคารเมเจอร์ ทาวเวอร์ พระราม 9 - รามคำแหง ชั้นที่ 18 ห้องเลขที่ 3 - 8 ถนนพระราม 9 แขวงหัวหมาก เขตบางกะปิ กทม.,0-2769-8888,0-2090-2730,http://as-th.listedcompany.com,"256,503,736.50 บาท"
60,บริษัท ซินเนอร์เจติค ออโต้ เพอร์ฟอร์มานซ์ จำกัด (มหาชน),149 หมู่ที่ 3 ถนนเทพารักษ์ ตำบลเทพารักษ์ อำเภอเมืองสมุทรปราการ สมุทรปราการ,0-2091-8181,0-2091-8111,http://www.asapcarrent.com,"363,000,000.00 บาท"
61,บริษัท อาซีฟา จำกัด (มหาชน),เลขที่ 5 หมู่ที่ 1 ถนนพระราม 2 ตำบลคอกกระบือ อำเภอเมืองสมุทรสาคร สมุทรสาคร,0-2686-7777,0-2686-7788,http://www.asefa.co.th,"550,000,000.00 บาท"
62,บริษัท เอเชียโฮเต็ล จำกัด (มหาชน),296 ถนนพญาไท แขวงถนนเพชรบุรี เขตราชเทวี กทม.,0-2217-0808,0-2215-2645,http://www.asiahotel.co.th,"500,000,000.00 บาท"
63,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน),55/2 หมู่ 2 ถนนพระราม 2 ตำบลบางกระเจ้า อำเภอเมือง สมุทรสาคร,"0-3482-2204-7, 0-3482-2700-6","0-3482-2407, 0-3482-2698-9, 0-3482-2706",http://www.asianseafoods.co.th,"814,087,559.00 บาท"
64,บริษัท เอเชียน มารีน เซอร์วิสส์ จำกัด (มหาชน),128 หมู่ 3 ถนนสุขสวัสดิ์ ตำบลแหลมฟ้าผ่า อำเภอพระสมุทรเจดีย์ สมุทรปราการ,0-2815-2060-67,0-2453-7213-4,http://www.asimar.com,"258,291,110.00 บาท"
65,บริษัท เอเซียเสริมกิจลีสซิ่ง จำกัด (มหาชน),"อาคารสาธรซิตี้ทาวเวอร์ ชั้น 24, 175 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กทม.","0-2679-6226, 0-2679-6262",0-2679-6241-3,http://www.ask.co.th,"2,639,217,300.00 บาท"
66,บริษัท เอเอสเอ็น โบรกเกอร์ จำกัด (มหาชน),388 อาคารไอบีเอ็ม ชั้น 16 บี ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม.,0-2494-8388,0-2619-2296,http://www.asnbroker.co.th,"93,599,976.50 บาท"
67,บริษัท เอเซีย พลัส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),"อาคารสาธรซิตี้ทาวเวอร์ ชั้น 3,9 และ11, 175 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาธร กทม.","0-2285-1888, 0-2680-1111",0-2285-1901-2,http://www.asiaplusgroup.co.th,"2,521,945,020.00 บาท"
68,บริษัท แอสเซทไวส์ จำกัด (มหาชน),เลขที่ 9 ซอยรามอินทรา 5 แยก 23 แขวงอนุสาวรีย์ เขตบางเขน กทม.,0-2521-9533-35,-,http://www.assetwise.co.th,"1,363,106,937.00 บาท"
69,บริษัท เอทีพี 30 จำกัด (มหาชน),เลขที่ 9/30 หมู่ที่ 9 ตำบลบางนาง อำเภอพานทอง ชลบุรี,0-3846-8788,0-3846-8788,http://www.atp30.com,"170,577,514.50 บาท"
70,บริษัท อาฟเตอร์ ยู จำกัด (มหาชน),1319/9 ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กทม.,0-2318-4488,0-2318-1022,http://www.afteryoudessertcafe.com,"81,562,500.00 บาท"
71,บริษัท สหการประมูล จำกัด (มหาชน),518/28 ซ.รามคำแหง 39 (เทพลีลา 1) แขวงวังทองหลาง เขตวังทองหลาง กทม.,0-2934-7344-8,0-2935-6202,http://www.auct.co.th,"137,500,000.00 บาท"
72,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน),เลขที่ 1 อาคารเอ็มไพร์ทาวเวอร์ ชั้นที่ 54 ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กทม.,0-2180-9999,0-2180-9966,https://www.assetworldcorp-th.com,"32,150,000,000.00 บาท"
73,บริษัท อลิอันซ์ อยุธยา แคปปิตอล จำกัด (มหาชน),"อาคารเพลินจิตทาวเวอร์ ชั้น 7, 898 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.",0-2657-2970,0-2657-2971,http://www.ayud.co.th,"463,473,361.00 บาท"
74,บริษัท บี จิสติกส์ จำกัด (มหาชน),เลขที่ 52 อาคารธนิยะ พลาซ่า ชั้นที่ 28 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กทม.,0-2096-4999,-,http://WWW.BEGISTICS.CO.TH,"3,093,442,070.20 บาท"
75,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์บัวหลวง ออฟฟิศ,เลขที่ 175 อาคารสาธรซิตี้ทาวเวอร์ ชั้น 7 ชั้น 21 และ ชั้น 26 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กทม.,0-2674-6488,0-2679-5996,http://www.bworkreit.com,"4,469,088,210.00 บาท"
76,บริษัท บี-52 แคปปิตอล จำกัด (มหาชน),"973 อาคารเพรสิเด้นท์ ทาวเวอร์ ห้อง 7B, 7C, 7D, 7I ชั้น 7 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.",0-2656-0189,0-2656-0189 ต่อ 123,http://www.b52.co.th,"465,197,630.50 บาท"
77,บริษัท การบินกรุงเทพ จำกัด (มหาชน),เลขที่ 99 หมู่ที่ 14 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,0-2265-5678,0-2265-5500,http://www.bangkokair.com,"2,100,000,000.00 บาท"
78,บริษัท บริการเชื้อเพลิงการบินกรุงเทพ จำกัด (มหาชน),171/2 ถนนกำแพงเพชร 6 แขวงดอนเมือง เขตดอนเมือง กทม.,0-2834-8900,0-2834-8999,http://www.bafsthai.com,"637,496,657.00 บาท"
79,บริษัทบริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน),99 ถนนสุรศักดิ์ แขวงสีลม เขตบางรัก กทม.,0-2267-1900,0-2266-3377,http://www.bam.co.th,"16,225,000,000.00 บาท"
80,บริษัท บ้านปู จำกัด (มหาชน),"อาคารธนภูมิ ชั้น 27, 1550 ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กทม.",0-2694-6600,0-2207-0696,http://www.banpu.com,"10,149,163,028.00 บาท"
81,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),1222 ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กทม.,"0-2296-2000, 0-2683-1000",0-2683-1304,http://www.krungsri.com,"75,741,437,470.00 บาท"
82,บริษัท บีบีจีไอ จำกัด (มหาชน),2098 อาคารเอ็ม ทาวเวอร์ ชั้นที่ 5 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กทม.,0-2335-8814,0-2335-8800,https://www.bbgigroup.com/,"3,615,000,000.00 บาท"
83,บริษัท บลูบิค กรุ๊ป จำกัด (มหาชน),เลขที่ 51 ถนนนราธิวาสราชนครินทร์ แขวงสีลม เขตบางรัก กทม.,0-2636-7011,-,https://www.bluebik.com,"50,000,000.00 บาท"
84,ธนาคารกรุงเทพ จำกัด (มหาชน),333 ถนนสีลม เขตบางรัก กทม.,0-2231-4333,0-2231-4890,http://www.bangkokbank.com,"39,983,450,000.00 บาท"
85,บริษัท บูทิค คอร์ปอเรชั่น จำกัด (มหาชน),170/67 อาคารโอเชี่ยนทาวเวอร์ 1 ชั้น 21 ซอยสุขุมวิท 16 (สามมิตร) ถนนรัชดาภิเษก แขวงคลองเตย เขตคลองเตย กทม.,0-2620-8777,0-2620-8778,https://www.boutiquecorporation.com,"857,180,433.00 บาท"
86,บริษัท บางกอก เชน ฮอสปิทอล จำกัด (มหาชน),44 หมู่ 4 ตำบลปากเกร็ด อำเภอปากเกร็ด นนทบุรี,0-2836-9999,0-2106-4858,http://www.bangkokchainhospital.com,"2,493,748,115.00 บาท"
87,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),เลขที่ 2098 อาคารเอ็ม ทาวเวอร์ ชั้น 8 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กทม.,0-2335-8888,0-2335-8000,http://www.bangchak.co.th,"1,376,923,157.00 บาท"
88,บริษัท บีซีพีจี จำกัด (มหาชน),อาคาร เอ็ม ทาวเวอร์ ชั้น 12 เลขที่ 2098 ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กทม.,-,-,http://www.bcpggroup.com,"16,508,500,000.00 บาท"
89,บริษัท เบอร์ล่า คาร์บอน (ไทยแลนด์) จำกัด (มหาชน),"อาคารมหาทุนพลาซ่า ชั้น 12, 888/122,128 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.",0-2253-6745-54,"0-2254-9031, 0-2253-2812",http://www.birlacarbon.com,"300,000,000.00 บาท"
90,บริษัท กรุงเทพดุสิตเวชการ จำกัด(มหาชน),เลขที่ 2 ซอยศูนย์วิจัย 7 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม.,0-2310-3000,"0-2318-1546 , 0-2310-3327",http://www.bangkokhospital.com,"1,758,223,567.20 บาท"
